"model","academic_year","region","campus","grade","persistence","persistence_type","persistence_type_display","grouped_by","grouped_by_display","level_1","level_2","level_3","level_4","level_5","level"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","3",73.8317757,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","K",85.9649122807018,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","1",92.9133858267717,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","2",84.7457627118644,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","3",93.2773109243697,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","4",91.5966386554622,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","5",91.40625,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","6",90.5511811023622,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","7",87.6106194690265,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","8",83.0357142857143,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","9",93.3962264150943,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","10",92.4528301886792,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","K",89.0756302521008,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","1",86.4406779661017,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","2",94.1666666666667,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","3",93.2203389830508,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","4",92.5,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","5",89.4308943089431,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","6",92.1259842519685,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","7",94.6153846153846,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","8",86.6666666666667,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","9",91.869918699187,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","10",92.8571428571429,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","11",88.6075949367089,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","K",78.9473684210526,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","1",85.6,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","2",90.983606557377,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","3",86.5079365079365,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","4",83.0357142857143,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","5",84.1666666666667,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","6",76.5765765765766,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","7",91.1290322580645,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","8",77.1653543307087,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park","9",91.2,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","K",86.5546218487395,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","1",87.0689655172414,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","2",90.6779661016949,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","3",83.3333333333333,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","4",90.9090909090909,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","5",86.1788617886179,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","6",84.251968503937,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","7",88.6792452830189,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","8",77.7777777777778,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","9",82.7586206896552,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville","10",86.2385321100917,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","K",83.59375,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","1",89.1472868217054,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","2",86.3636363636364,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","3",85.6,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","4",83.3333333333333,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","5",77.0833333333333,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","6",78.6764705882353,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","7",80.3149606299213,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Round Rock Tech","8",74.0157480314961,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","K",83.0508474576271,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","1",89.0625,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","2",88.3333333333333,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","3",94.3548387096774,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","4",90.9090909090909,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","5",89.922480620155,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","6",96.2406015037594,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","7",93.0232558139535,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","8",95.2,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","9",86.2068965517241,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","10",88.1188118811881,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Rundberg","11",80.9523809523809,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","PK",78.7610619469027,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","K",92,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","El Paso","Edgemere","1",83.3333333333333,"LDOS","Last Day of School","academic_year | persistence_type","Org-wide",0,80.8423069554403,84.3815449438202,87.9207829322001,91.4600209205801,2
